,Unnamed: 0,latitude,longitude,country,alpha-3,region,geometry
0,1,23.424076,53.847818,United Arab Emirates,ARE,Asia,POINT (53.847818 23.424076)
1,2,33.93911,67.709953,Afghanistan,AFG,Asia,POINT (67.709953 33.93911)
2,6,40.069099,45.038189,Armenia,ARM,Asia,POINT (45.038189 40.069099)
3,15,40.143105,47.576927,Azerbaijan,AZE,Asia,POINT (47.576927 40.143105)
4,18,23.684994,90.356331,Bangladesh,BGD,Asia,POINT (90.356331 23.684994)
5,22,25.930414,50.637772,Bahrain,BHR,Asia,POINT (50.637772 25.930414)
6,30,27.514162,90.433601,Bhutan,BTN,Asia,POINT (90.433601 27.514162)
7,45,35.86166,104.195397,China,CHN,Asia,POINT (104.195397 35.86166)
8,51,35.126413,33.429859,Cyprus,CYP,Asia,POINT (33.429859 35.126413)
9,75,42.315407,43.356892,Georgia,GEO,Asia,POINT (43.356892 42.315407)
10,92,22.396428,114.109497,Hong Kong,HKG,Asia,POINT (114.109497 22.396428)
11,98,-0.789275,113.921327,Indonesia,IDN,Asia,POINT (113.921327 -0.789275)
12,100,31.046051,34.851612,Israel,ISR,Asia,POINT (34.851612 31.046051)
13,102,20.593684,78.96288,India,IND,Asia,POINT (78.96288 20.593684)
14,104,33.223191,43.679291,Iraq,IRQ,Asia,POINT (43.679291 33.223191)
15,105,32.427908,53.688046,Iran,IRN,Asia,POINT (53.688046 32.427908)
16,110,30.585164,36.238414,Jordan,JOR,Asia,POINT (36.238414 30.585164)
17,111,36.204824,138.252924,Japan,JPN,Asia,POINT (138.252924 36.204824)
18,113,41.20438,74.766098,Kyrgyzstan,KGZ,Asia,POINT (74.766098 41.20438)
19,114,12.565679,104.990963,Cambodia,KHM,Asia,POINT (104.990963 12.565679)
20,119,35.907757,127.766922,South Korea,PRK,Asia,POINT (127.766922 35.907757)
21,120,29.31166,47.481766,Kuwait,KWT,Asia,POINT (47.481766 29.31166)
22,122,48.019573,66.923684,Kazakhstan,KAZ,Asia,POINT (66.923684 48.019573)
23,123,19.85627,102.495496,Laos,LAO,Asia,POINT (102.495496 19.85627)
24,124,33.854721,35.862285,Lebanon,LBN,Asia,POINT (35.862285 33.854721)
25,127,7.873054,80.771797,Sri Lanka,LKA,Asia,POINT (80.771797 7.873054)
26,143,46.862496,103.846656,Mongolia,MNG,Asia,POINT (103.846656 46.862496)
27,151,3.202778,73.22068,Maldives,MDV,Asia,POINT (73.22068 3.202778)
28,154,4.210484,101.975766,Malaysia,MYS,Asia,POINT (101.975766 4.210484)
29,164,28.394857,84.124008,Nepal,NPL,Asia,POINT (84.124008 28.394857)
30,168,21.512583,55.923255,Oman,OMN,Asia,POINT (55.923255 21.512583)
31,173,12.879721,121.774017,Philippines,PHL,Asia,POINT (121.774017 12.879721)
32,174,30.375321,69.345116,Pakistan,PAK,Asia,POINT (69.345116 30.375321)
33,183,25.354826,51.183884,Qatar,QAT,Asia,POINT (51.183884 25.354826)
34,189,23.885942,45.079162,Saudi Arabia,SAU,Asia,POINT (45.079162 23.885942)
35,194,1.352083,103.819836,Singapore,SGP,Asia,POINT (103.819836 1.352083)
36,206,34.802075,38.996815,Syria,SYR,Asia,POINT (38.996815 34.802075)
37,212,15.870032,100.992541,Thailand,THA,Asia,POINT (100.992541 15.870032)
38,213,38.861034,71.276093,Tajikistan,TJK,Asia,POINT (71.276093 38.861034)
39,215,-8.874217,125.727539,Timor-Leste,TLS,Asia,POINT (125.727539 -8.874217)
40,216,38.969719,59.556278,Turkmenistan,TKM,Asia,POINT (59.556278 38.969719)
41,219,38.963745,35.243322,Turkey,TUR,Asia,POINT (35.243322 38.963745)
42,222,23.69781,120.960515,Taiwan,TWN,Asia,POINT (120.960515 23.69781)
43,229,41.377491,64.585262,Uzbekistan,UZB,Asia,POINT (64.585262 41.377491)
44,235,14.058324,108.277199,Vietnam,VNM,Asia,POINT (108.277199 14.058324)
45,240,15.552727,48.516388,Yemen,YEM,Asia,POINT (48.516388 15.552727)
